구별,강간,강도,살인,절도,폭력,강도검거율,강간검거율,살인검거율,절도검거율,폭력검거율
강남구,449,21,13,3850,4284,85.71428571428571,77.728285077951,76.92307692307693,42.857142857142854,86.48459383753502
강동구,156,6,4,2366,2712,100.0,78.84615384615384,75.0,33.34742180896027,82.89085545722715
강북구,153,14,7,1434,2649,92.85714285714286,82.35294117647058,100.0,43.09623430962343,88.63722159305398
관악구,320,12,9,2706,3298,100.0,69.0625,88.88888888888889,30.56171470805617,80.10915706488781
광진구,240,14,4,3026,2625,100.0,91.66666666666666,100.0,42.2009253139458,83.04761904761905
구로구,281,15,8,2335,3007,73.33333333333333,58.362989323843415,75.0,38.07280513918629,80.87795144662454
금천구,151,6,3,1567,2054,100.0,80.79470198675497,100.0,56.66879387364391,86.46543330087634
노원구,197,7,10,2193,2723,100.0,61.42131979695431,100.0,36.52530779753762,85.53066470804261
도봉구,102,9,3,1063,1487,100.0,100.0,100.0,44.96707431796801,87.62609280430397
동대문구,173,13,5,1981,2548,100.0,84.39306358381504,100.0,41.090358404846036,87.40188383045526
동작구,285,9,5,1865,1910,55.55555555555556,48.771929824561404,100.0,35.442359249329755,83.0890052356021
마포구,294,14,8,2555,2983,71.42857142857143,84.01360544217688,100.0,31.81996086105675,84.44518940663761
서대문구,154,5,2,1812,2056,80.0,80.51948051948052,100.0,40.728476821192054,83.21984435797665
서초구,393,9,8,2635,2399,66.66666666666666,63.358778625954194,75.0,41.40417457305503,87.45310546060858
성동구,126,9,4,1607,1612,88.88888888888889,94.44444444444444,100.0,37.14996888612321,86.53846153846155
성북구,150,5,5,1785,2209,80.0,82.66666666666667,100.0,41.51260504201681,83.97464916251698
송파구,220,13,11,3239,3295,76.92307692307693,80.9090909090909,90.9090909090909,34.85643717196666,84.55235204855842
양천구,382,19,10,3986,5716,84.21052631578947,77.4869109947644,100.0,48.469643753135976,83.06508047585724
영등포구,295,22,14,2964,3572,90.9090909090909,62.03389830508475,85.71428571428571,32.99595141700405,82.89473684210526
용산구,194,14,5,1557,2050,100.0,89.17525773195877,100.0,37.70070648683366,83.1219512195122
은평구,166,9,3,1914,2653,66.66666666666666,84.93975903614458,100.0,37.14733542319749,86.92046739540143
종로구,211,11,6,2184,2293,81.81818181818183,76.30331753554502,83.33333333333334,38.324175824175825,84.21282163105103
중구,170,9,3,2548,2224,66.66666666666666,65.29411764705883,66.66666666666666,33.712715855573,88.3093525179856
중랑구,187,11,13,2135,2847,81.81818181818183,79.14438502673798,92.3076923076923,38.82903981264637,84.54513523006673
